区域,小区,总价,房型,面积,单价,朝向,楼层位置,装修情况,建筑时间,是否有电梯,产权类型,挂牌时间
思明,天湖苑,60.0,车位,39.9平米,15038,南,地下室/共1层,暂无数据/简装,板楼 ,无,非共有 ,2021年11月25日 
思明,官任社区,698.0,3室2厅,98.17平米,71102,南,低楼层/共6层,暂无数据/简装,1992年建/板楼 ,无,非共有 ,2021年11月25日 
思明,观远里思明,485.8,3室1厅,69.64平米,69759,南北,低楼层/共6层,平层/简装,1993年建/板楼 ,无,共有 ,2021年11月25日 
思明,卧龙晓城,718.0,3室2厅,116.93平米,61405,南北,高楼层/共12层,暂无数据/简装,2003年建/板塔结合 ,有,非共有 ,2021年11月25日 
思明,金榜铁路家园,360.0,2室1厅,56.9平米,63269,南北,中楼层/共4层,暂无数据/简装,暂无数据 ,无,共有 ,2021年11月24日 
思明,海峡国际社区一期,1850.0,3室2厅,178.13平米,103857,东南西北,低楼层/共29层,暂无数据/精装,2008年建/板塔结合 ,有,非共有 ,2021年11月25日 
思明,厦禾路,488.0,3室1厅,70.31平米,69407,南北西,高楼层/共7层,平层/精装,1982年建/板楼 ,无,非共有 ,2021年11月25日 
思明,仙阁里花园,580.0,3室1厅,99.73平米,58158,南西南,中楼层/共8层,平层/简装,1996年建/板楼 ,有,共有 ,2021年11月25日 
思明,新景禾祥高峰会,1780.0,5室2厅,199.74平米,89116,南北,低楼层/共34层,复式/精装,板楼 ,有,非共有 ,2021年11月25日 
思明,新景禾祥高峰会,1980.0,5室2厅,201.61平米,98210,南北,高楼层/共34层,暂无数据/精装,板楼 ,有,共有 ,2021年11月24日 
思明,龙江大厦,2000.0,6室2厅,309.83平米,64552,南北,高楼层/共15层,跃层/简装,2000年建/板楼 ,有,非共有 ,2021年11月24日 
思明,同安路5号,920.0,3室1厅,68.08平米,135136,南北,高楼层/共7层,平层/简装,板楼 ,无,非共有 ,2021年11月24日 
思明,金祥大厦,583.0,3室2厅,93.77平米,62174,南,中楼层/共23层,平层/简装,塔楼 ,有,非共有 ,2021年11月24日 
思明,前埔南小区一区,480.0,3室2厅,90.75平米,52893,南北,中楼层/共7层,平层/精装,1999年建/板楼 ,无,非共有 ,2021年11月24日 
思明,山水芳邻,1420.0,5室3厅,142.04平米,99972,南北,高楼层/共25层,复式/简装,2006年建/板楼 ,有,非共有 ,2021年11月24日 
思明,涵光路,435.0,2室1厅,65.95平米,65960,南北,低楼层/共6层,平层/简装,1988年建/板楼 ,无,非共有 ,2021年11月24日 
思明,瑞景新村寿鹤苑,725.0,3室2厅,95平米,76316,南,低楼层/共6层,暂无数据/简装,1998年建/板楼 ,无,非共有 ,2021年11月24日 
思明,莲岳里小区东区,550.0,2室1厅,69.16平米,79526,南北,中楼层/共7层,平层/精装,1995年建/板楼 ,无,非共有 ,2021年11月24日 
思明,自然家园,588.0,2室1厅,90.18平米,65203,南西,高楼层/共11层,平层/精装,2003年建/板楼 ,有,非共有 ,2021年11月24日 
思明,福满山庄,369.0,2室1厅,64.92平米,56840,南,低楼层/共17层,错层/精装,2005年建/塔楼 ,有,共有 ,2021年11月24日 
思明,西林路,478.0,3室2厅,105.59平米,45270,南北,高楼层/共7层,平层/简装,2010年建/板楼 ,无,非共有 ,2021年11月24日 
思明,仙岳东村,398.0,2室2厅,66.32平米,60013,南北,中楼层/共7层,平层/简装,板楼 ,无,共有 ,2021年11月24日 
思明,莲花广场,590.0,2室1厅,93.71平米,62961,南北,低楼层/共35层,暂无数据/简装,1997年建/板塔结合 ,有,共有 ,2021年11月24日 
思明,仙岳嘉园,308.0,1室1厅,41.94平米,73439,东东北,中楼层/共26层,平层/简装,2006年建/塔楼 ,有,非共有 ,2021年11月24日 
思明,古楼北里,375.0,2室1厅,68.85平米,54467,南北,高楼层/共7层,暂无数据/精装,2000年建/板楼 ,无,非共有 ,2021年11月24日 
思明,大洲新世纪广场,930.0,4室1厅,135.16平米,68808,南北,中楼层/共11层,平层/精装,2000年建/塔楼 ,有,非共有 ,2021年11月24日 
思明,天鹭大厦,1230.0,3室2厅,98.9平米,124369,东北,高楼层/共33层,平层/简装,2000年建/塔楼 ,有,非共有 ,2021年11月24日 
思明,永升松柏中心,999.0,3室1厅,153.18平米,65218,南北,低楼层/共6层,平层/精装,2002年建/板楼 ,无,非共有 ,2021年11月23日 
思明,金枫园,450.0,3室2厅,61.55平米,73112,东南西,低楼层/共6层,平层/精装,2002年建/板楼 ,无,共有 ,2021年11月23日 
思明,天宝大厦,230.0,1室0厅,22.67平米,101456,西,中楼层/共31层,平层/简装,2003年建/板塔结合 ,有,非共有 ,2021年11月23日 
思明,菡菁大厦,950.0,3室2厅,147.9平米,64233,东南南,高楼层/共24层,暂无数据/精装,塔楼 ,有,共有 ,2021年11月23日 
思明,禹洲世贸商城思明,439.0,3室2厅,70.4平米,62358,西北,中楼层/共23层,平层/简装,2000年建/塔楼 ,有,非共有 ,2021年11月23日 
思明,侨岳厦工花园,369.0,2室1厅,66.12平米,55808,南北,中楼层/共7层,平层/简装,1991年建/板楼 ,无,共有 ,2021年11月23日 
思明,新港龙名府,893.0,3室1厅,145.3平米,61460,南北,中楼层/共14层,平层/精装,2006年建/塔楼 ,有,非共有 ,2021年11月23日 
思明,古兴里,419.0,2室2厅,80.28平米,52193,西南,低楼层/共17层,暂无数据/简装,2001年建/塔楼 ,有,非共有 ,2021年11月23日 
思明,海峡国际社区四期,1800.0,3室1厅,158.9平米,113279,南,高楼层/共32层,平层/精装,2012年建/板楼 ,有,非共有 ,2021年11月23日 
