户型,楼层,面积,装修情况,价格,小区,区域,房屋朝向,配置电梯,挂牌时间,房屋用途,单价
2室1厅,中楼层/共8层,52.25,暂无数据/其他,55.0,北京路241号院,云岩区,东,有,2021年12月16日 ,普通住宅 ,10527
2室1厅,高楼层/共33层,60,暂无数据/精装,35.0,中天甜蜜小镇6组团,云岩区,西南,有,2021年12月16日 ,普通住宅 ,5834
4室2厅,高楼层/共32层,197,平层/其他,257.0,未来方舟F9组团,云岩区,南,有,2021年12月16日 ,普通住宅 ,13046
3室2厅,中楼层/共33层,117,平层/精装,106.0,天誉城,云岩区,东南,有,2021年12月16日 ,普通住宅 ,9060
4室2厅,中楼层/共27层,171,暂无数据/简装,250.0,鸿基景苑,云岩区,东,有,2021年12月16日 ,普通住宅 ,14620
1室0厅,高楼层/共27层,173.86,暂无数据/简装,357.0,凯都大厦,云岩区,东南,无,2021年12月16日 ,普通住宅 ,20534
2室2厅,低楼层/共8层,72,平层/其他,55.0,沙河花园三期东区,云岩区,南,无,2021年12月16日 ,普通住宅 ,7639
2室2厅,低楼层/共24层,90.14,暂无数据/精装,90.0,未来方舟F7组团,云岩区,东南,有,2021年12月16日 ,普通住宅 ,9985
2室1厅,高楼层/共29层,89.75,暂无数据/其他,89.0,都市名园,云岩区,南,有,2021年12月16日 ,普通住宅 ,9917
2室1厅,低楼层/共8层,67.37,平层/其他,55.0,贵乌北路179号,云岩区,南,无,2021年12月16日 ,普通住宅 ,8164
3室2厅,中楼层/共12层,88.29,平层/精装,62.0,世纪星苑,云岩区,东,有,2021年12月16日 ,普通住宅 ,7023
2室1厅,高楼层/共6层,74.11,暂无数据/毛坯,41.8,世纪星苑,云岩区,南北,无,2021年12月15日 ,普通住宅 ,5641
2室1厅,中楼层/共9层,80.86,暂无数据/其他,55.0,向阳路大院13号,云岩区,东南,无,2021年12月15日 ,普通住宅 ,6802
4室2厅,低楼层/共33层,140.77,平层/精装,150.0,未来方舟E1组团（斯美郡）,云岩区,东南,有,2021年12月15日 ,普通住宅 ,10656
3室1厅,中楼层/共8层,65.81,平层/其他,46.8,头桥路35号,云岩区,东南,无,2021年12月15日 ,普通住宅 ,7112
4室2厅,高楼层/共6层,91.43,平层/毛坯,50.0,松山路61号,云岩区,北南,无,2021年12月15日 ,普通住宅 ,5469
3室1厅,中楼层/共7层,97.53,暂无数据/其他,65.0,广信四季家园,云岩区,南,无,2021年12月15日 ,普通住宅 ,6665
5室2厅,低楼层/共3层,266,暂无数据/毛坯,580.0,未来方舟E2组团,云岩区,南,无,2021年12月15日 ,别墅 ,21805
2室1厅,高楼层/共8层,70,平层/精装,52.8,万江小区,云岩区,东南,无,2021年12月15日 ,普通住宅 ,7543
2室2厅,低楼层/共9层,70,暂无数据/精装,55.0,鸿福景苑,云岩区,东南,无,2021年12月15日 ,普通住宅 ,7858
2室2厅,高楼层/共32层,99,平层/简装,130.0,鸿基文昌苑,云岩区,南,有,2021年12月15日 ,普通住宅 ,13132
3室2厅,低楼层/共30层,85.36,平层/其他,78.0,万科云岩大都会,云岩区,东南南,有,2021年12月15日 ,普通住宅 ,9138
1室2厅,中楼层/共6层,60,暂无数据/精装,60.0,城基巷10号,云岩区,西北,无,2021年12月15日 ,普通住宅 ,10000
4室2厅,中楼层/共31层,168.8,平层/精装,188.0,未来方舟G8组团,云岩区,南,有,2021年12月15日 ,普通住宅 ,11138
3室1厅,中楼层/共34层,87,暂无数据/其他,85.0,万科城,云岩区,南,有,2021年12月15日 ,普通住宅 ,9771
5室2厅,高楼层/共28层,180,跃层/精装,138.0,贝地卢加诺,云岩区,东南,有,2021年12月15日 ,普通住宅 ,7667
3室2厅,中楼层/共32层,103.59,暂无数据/毛坯,128.0,中天未来方舟F10组团盛棠,云岩区,南,有,2021年12月15日 ,普通住宅 ,12357
3室2厅,中楼层/共32层,103.34,暂无数据/毛坯,127.0,中天未来方舟F10组团盛棠,云岩区,南,有,2021年12月15日 ,普通住宅 ,12290
3室2厅,高楼层/共32层,103.34,暂无数据/毛坯,127.0,中天未来方舟F10组团盛棠,云岩区,南,有,2021年12月15日 ,普通住宅 ,12290
3室2厅,高楼层/共32层,127.89,暂无数据/毛坯,158.0,中天未来方舟F10组团盛棠,云岩区,南,有,2021年12月15日 ,普通住宅 ,12355
