职位名称,基本信息,公司名称,公司类型,公司规模,公司性质,公司福利,薪资,发布日期,职位详情页
电商——天猫店长,深圳-龙华区|3-4年经验|大专|招1人,深圳影儿时尚集团有限公司,服装/纺织/皮革,5000-10000人,民营公司,五险一金 包住宿 餐饮补贴 免费班车 定期体检 节日福利 绩效奖金 带薪年假,1-1.8万/月,11-02,https://jobs.51job.com/shenzhen-lhq/134036694.html?s=sou_sou_soulb&t=0_0
销售经理,深圳-南山区|5-7年经验|本科|招3人,深圳市数聚能源科技有限公司,计算机软件,50-150人,民营公司,五险一金 年终奖金 股票期权 定期体检 弹性工作,30-40万/年,11-02,https://jobs.51job.com/shenzhen-nsq/96827969.html?s=sou_sou_soulb&t=0_0
运营团队技术总监,深圳-福田区|5-7年经验|硕士|招1人,深圳市特发服务股份有限公司,物业管理/商业中心,5000-10000人,国企,带薪年假 五险一金 节日福利 高温补贴 专业培训 周末双休 定期体检 年终奖金,3-5万/月,11-02,https://jobs.51job.com/shenzhen-ftq/134755688.html?s=sou_sou_soulb&t=0_0
产品经理,深圳-南山区|5-7年经验|本科|招若干人,埃克斯工业（广东）有限公司,计算机软件,50-150人,民营公司,,2.5-4.5万/月,11-02,https://jobs.51job.com/shenzhen-nsq/136060130.html?s=sou_sou_soulb&t=0_0
存储技术支持工程师,深圳|3-4年经验|大专|招若干人,深圳市杉岩数据技术有限公司,计算机软件,150-500人,民营公司,五险一金 补充医疗保险 交通补贴 年终奖金 股票期权 定期体检 专业培训 通讯补贴 员工旅游,1.5-3万/月,11-02,https://jobs.51job.com/shenzhen/119173362.html?s=sou_sou_soulb&t=0_0
行业销售经理,深圳|3-4年经验|大专|招若干人,深圳市杉岩数据技术有限公司,计算机软件,150-500人,民营公司,五险一金 补充医疗保险 交通补贴 年终奖金 股票期权 定期体检 专业培训 通讯补贴 员工旅游,30-60万/年,11-02,https://jobs.51job.com/shenzhen/118191114.html?s=sou_sou_soulb&t=0_0
高级数据仓库工程师,深圳-南山区|5-7年经验|本科|招2人,深圳市新新信息技术有限公司,计算机软件,,民营公司,,2.5-5万/月,11-02,https://jobs.51job.com/shenzhen-nsq/136146726.html?s=sou_sou_soulb&t=0_0
数据产品经理,深圳-南山区|3-4年经验|本科|招1人,深圳市腾讯计算机系统有限公司,互联网/电子商务,10000人以上,民营公司,,3-6万/月,11-02,https://jobs.51job.com/shenzhen-nsq/136145519.html?s=sou_sou_soulb&t=0_0
房地产销售（本科包住）,深圳-龙岗区|无需经验|本科|招11人,贝壳找房（深圳）科技有限公司,房地产,500-1000人,民营公司,包住宿 五险一金 节日福利 住房补贴 绩效奖金 上市公司 提供资源 师傅带教 晋升空间大 专业培训,0.8-1万/月,11-02,https://jobs.51job.com/shenzhen-lgq/136143157.html?s=sou_sou_soulb&t=0_0
8000底薪/包住/六险一金/销售,深圳-南山区|无需经验|本科|招4人,贝壳找房（深圳）科技有限公司,房地产,500-1000人,民营公司,弹性工作 包住宿 五险一金 节日福利 交通补贴 住房补贴 绩效奖金 全勤奖 包吃 加班补贴,0.8-1.6万/月,11-02,https://jobs.51job.com/shenzhen-nsq/134814889.html?s=sou_sou_soulb&t=0_0
龙岗销冠组招新/底薪8000/六险一金,深圳-龙岗区|无需经验|本科|招4人,贝壳找房（深圳）科技有限公司,房地产,500-1000人,民营公司,弹性工作 包住宿 五险一金 节日福利 交通补贴 住房补贴 绩效奖金 全勤奖 包吃 加班补贴,0.8-1.6万/月,11-02,https://jobs.51job.com/shenzhen-lgq/134787646.html?s=sou_sou_soulb&t=0_0
金融行业销售经理,深圳|5-7年经验|本科|招若干人,深圳市杉岩数据技术有限公司,计算机软件,150-500人,民营公司,五险一金 补充医疗保险 交通补贴 年终奖金 股票期权 定期体检 专业培训 通讯补贴 员工旅游,2.5-3万/月,11-02,https://jobs.51job.com/shenzhen/128844409.html?s=sou_sou_soulb&t=0_0
运维工程师,深圳|3-4年经验|大专|招若干人,深圳市杉岩数据技术有限公司,计算机软件,150-500人,民营公司,五险一金 补充医疗保险 交通补贴 年终奖金 股票期权 定期体检 专业培训 通讯补贴 员工旅游,1.5-3万/月,11-02,https://jobs.51job.com/shenzhen/129171976.html?s=sou_sou_soulb&t=0_0
组织发展经理（工作地安徽滁州，公司提供食宿）,深圳-南山区|5-7年经验|本科|招若干人,开润股份,服装/纺织/皮革,1000-5000人,上市公司,五险一金 餐饮补贴 年终奖金 定期体检,2-2.5万/月,11-02,https://jobs.51job.com/shenzhen-nsq/134366099.html?s=sou_sou_soulb&t=0_0
组织发展经理（工作地安徽滁州，公司提供食宿）,深圳-南山区|5-7年经验|本科|招若干人,开润股份,服装/纺织/皮革,1000-5000人,上市公司,五险一金 餐饮补贴 年终奖金 定期体检,2-2.5万/月,11-02,https://jobs.51job.com/shenzhen-nsq/134366098.html?s=sou_sou_soulb&t=0_0
组织发展经理（工作地安徽滁州，公司提供食宿）,深圳-南山区|5-7年经验|本科|招若干人,开润股份,服装/纺织/皮革,1000-5000人,上市公司,五险一金 餐饮补贴 年终奖金 定期体检,2-2.5万/月,11-02,https://jobs.51job.com/shenzhen-nsq/134366097.html?s=sou_sou_soulb&t=0_0
组织发展经理（工作地安徽滁州，公司提供食宿）,深圳-南山区|5-7年经验|本科|招若干人,开润股份,服装/纺织/皮革,1000-5000人,上市公司,五险一金 餐饮补贴 年终奖金 定期体检,2-2.5万/月,11-02,https://jobs.51job.com/shenzhen-nsq/134366096.html?s=sou_sou_soulb&t=0_0
组织发展经理（工作地安徽滁州，公司提供食宿）,深圳-南山区|5-7年经验|本科|招若干人,开润股份,服装/纺织/皮革,1000-5000人,上市公司,五险一金 餐饮补贴 年终奖金 定期体检,2-2.5万/月,11-02,https://jobs.51job.com/shenzhen-nsq/134366095.html?s=sou_sou_soulb&t=0_0
组织发展经理（工作地安徽滁州，公司提供食宿）,深圳-南山区|5-7年经验|本科|招若干人,开润股份,服装/纺织/皮革,1000-5000人,上市公司,五险一金 餐饮补贴 年终奖金 定期体检,2-2.5万/月,11-02,https://jobs.51job.com/shenzhen-nsq/134366094.html?s=sou_sou_soulb&t=0_0
组织发展经理（工作地安徽滁州，公司提供食宿）,深圳-南山区|5-7年经验|本科|招若干人,开润股份,服装/纺织/皮革,1000-5000人,上市公司,五险一金 餐饮补贴 年终奖金 定期体检,2-2.5万/月,11-02,https://jobs.51job.com/shenzhen-nsq/134366093.html?s=sou_sou_soulb&t=0_0
组织发展经理（工作地安徽滁州，公司提供食宿）,深圳-南山区|5-7年经验|本科|招若干人,开润股份,服装/纺织/皮革,1000-5000人,上市公司,五险一金 餐饮补贴 年终奖金 定期体检,2-2.5万/月,11-02,https://jobs.51job.com/shenzhen-nsq/134366092.html?s=sou_sou_soulb&t=0_0
测试工程师（北京）,北京|2年经验|本科|招1人,深圳市都市交通规划设计研究院有限公司,多元化业务集团公司,500-1000人,民营公司,五险一金 补充医疗保险 补充公积金 员工旅游 交通补贴 专业培训,0.8-1.2万/月,11-02,https://jobs.51job.com/beijing-cyq/129237283.html?s=sou_sou_soulb&t=0_1
交通模型工程师,深圳-南山区|5-7年经验|硕士|招1人,深圳市都市交通规划设计研究院有限公司,多元化业务集团公司,500-1000人,民营公司,五险一金 补充医疗保险 补充公积金 专业培训 绩效奖金 周末双休 带薪年假 节日福利,2.5-3万/月,11-02,https://jobs.51job.com/shenzhen-nsq/112291031.html?s=sou_sou_soulb&t=0_0
研发经理,深圳-南山区|5-7年经验|本科|招1人,深圳市都市交通规划设计研究院有限公司,多元化业务集团公司,500-1000人,民营公司,五险一金 员工旅游 定期体检 股票期权 专业培训,2-4万/月,11-02,https://jobs.51job.com/shenzhen-nsq/135938744.html?s=sou_sou_soulb&t=0_0
助理交通规划工程师（工作地：东莞）,东莞|1年经验|本科|招3人,深圳市都市交通规划设计研究院有限公司,多元化业务集团公司,500-1000人,民营公司,五险一金 补充医疗保险 补充公积金 员工旅游 专业培训 绩效奖金 周末双休 弹性工作 年终奖金,1-1.5万/月,11-02,https://jobs.51job.com/dongguan-ncq/122124221.html?s=sou_sou_soulb&t=0_1
KA销售代表,深圳-宝安区|3-4年经验|大专|招若干人,深圳市中盛瑞达科技有限公司,计算机硬件,150-500人,民营公司,五险一金 交通补贴 餐饮补贴 通讯补贴 定期体检 带薪年假 生日福利 周末双休,1.5-2.5万/月,11-02,https://jobs.51job.com/shenzhen-baq/134317832.html?s=sou_sou_soulb&t=0_0
产品经理,深圳-宝安区|5-7年经验|本科|招1人,深圳市中盛瑞达科技有限公司,计算机硬件,150-500人,民营公司,五险一金 交通补贴 餐饮补贴 通讯补贴 定期体检 带薪年假 生日福利 周末双休,1.8-3万/月,11-02,https://jobs.51job.com/shenzhen-baq/133821867.html?s=sou_sou_soulb&t=0_0
证券结算系统开发工程师,深圳-罗湖区|2年经验|本科|招若干人,前海易博信息技术（深圳）有限公司,计算机软件,少于50人,外资（非欧美）,五险一金 绩效奖金 年终奖金 交通补贴,0.8-1万/月,11-02,https://jobs.51job.com/shenzhen-lhq/133674348.html?s=sou_sou_soulb&t=0_0
销售代表/6000无责/提供资源,深圳-龙岗区|无需经验|本科|招10人,贝壳找房（深圳）科技有限公司,房地产,500-1000人,民营公司,弹性工作 包住宿 五险一金 节日福利 交通补贴 住房补贴 绩效奖金 全勤奖 包吃 加班补贴,1-1.5万/月,11-02,https://jobs.51job.com/shenzhen-lgq/128802408.html?s=sou_sou_soulb&t=0_0
线上渠道销售/朝九晚六/无学历要求,深圳-龙华区|无需经验|招15人,贝壳找房（深圳）科技有限公司,房地产,500-1000人,民营公司,弹性工作 包住宿 五险一金 节日福利 交通补贴 住房补贴 绩效奖金 全勤奖 包吃 加班补贴,6-8千/月,11-02,https://jobs.51job.com/shenzhen-lhq/128500597.html?s=sou_sou_soulb&t=0_0
电话销售/朝九晚六/周末双休,深圳-宝安区|无需经验|招8人,贝壳找房（深圳）科技有限公司,房地产,500-1000人,民营公司,弹性工作 包住宿 五险一金 节日福利 交通补贴 住房补贴 绩效奖金 全勤奖 包吃 加班补贴,6-8千/月,11-02,https://jobs.51job.com/shenzhen-baq/128498308.html?s=sou_sou_soulb&t=0_0
高级产品经理-深圳标事通,深圳-福田区|3-4年经验|本科|招1人,北京筑龙信息技术有限责任公司,计算机软件,500-1000人,民营公司,,1.8-2.5万/月,11-02,https://jobs.51job.com/shenzhen-ftq/130629138.html?s=sou_sou_soulb&t=0_0
项目实施工程师,深圳-南山区|3-4年经验|本科|招2人,北京筑龙信息技术有限责任公司,计算机软件,500-1000人,民营公司,五险一金 员工旅游 专业培训 绩效奖金 年终奖金 弹性工作 定期体检,0.6-1万/月,11-02,https://jobs.51job.com/shenzhen-nsq/116426942.html?s=sou_sou_soulb&t=0_0
saas产品经理-标事通,深圳-福田区|2年经验|本科|招2人,北京筑龙信息技术有限责任公司,计算机软件,500-1000人,民营公司,五险一金 年终奖金 发展前景 晋升机会 工作氛围好,1.5-2.5万/月,11-02,https://jobs.51job.com/shenzhen-ftq/132595962.html?s=sou_sou_soulb&t=0_0
数据产品经理-标事通,深圳-福田区|3-4年经验|本科|招1人,北京筑龙信息技术有限责任公司,计算机软件,500-1000人,民营公司,五险一金 年终奖金 发展前景 晋升机会 工作氛围好,0.8-1.5万/月,11-02,https://jobs.51job.com/shenzhen-ftq/131802126.html?s=sou_sou_soulb&t=0_0
高级数仓工程师-深圳,深圳-福田区|5-7年经验|本科|招1人,北京筑龙信息技术有限责任公司,计算机软件,500-1000人,民营公司,五险一金 年终奖金 发展前景 晋升机会 工作氛围好,1.6-3万/月,11-02,https://jobs.51job.com/shenzhen-ftq/131781235.html?s=sou_sou_soulb&t=0_0
运维开发工程师-深圳,深圳-福田区|3-4年经验|本科|招1人,北京筑龙信息技术有限责任公司,计算机软件,500-1000人,民营公司,,1.8-3.5万/月,11-02,https://jobs.51job.com/shenzhen-ftq/130708982.html?s=sou_sou_soulb&t=0_0
高级运维开发工程师,深圳-福田区|5-7年经验|本科|招1人,北京筑龙信息技术有限责任公司,计算机软件,500-1000人,民营公司,五险一金 员工旅游 年终奖金 专业培训 定期体检 绩效奖金,2-2.5万/月,11-02,https://jobs.51job.com/shenzhen-ftq/128030449.html?s=sou_sou_soulb&t=0_0
底薪8000/实习生/包住,深圳-龙岗区|无需经验|本科|招10人,贝壳找房（深圳）科技有限公司,房地产,500-1000人,民营公司,专业培训 团队氛围good 平台大 有发展空间 领导nice 五险一金 节日福利 绩效奖金 弹性工作 带薪年假,1-1.5万/月,11-02,https://jobs.51job.com/shenzhen-lgq/128778731.html?s=sou_sou_soulb&t=0_0
高级运维开发工程师-深圳,深圳-福田区|5-7年经验|本科|招1人,北京筑龙信息技术有限责任公司,计算机软件,500-1000人,民营公司,,2.5-3.5万/月,11-02,https://jobs.51job.com/shenzhen-ftq/135692373.html?s=sou_sou_soulb&t=0_0
数仓架构师-深圳,深圳-福田区|5-7年经验|本科|招1人,北京筑龙信息技术有限责任公司,计算机软件,500-1000人,民营公司,五险一金 年终奖金 发展前景 晋升机会 工作氛围好,2.5-3.5万/月,11-02,https://jobs.51job.com/shenzhen-ftq/133640303.html?s=sou_sou_soulb&t=0_0
坂田北附近销售代表高提成-M,深圳-龙岗区|无需经验|高中|招若干人,深圳市龙华区金博士培训中心,教育/培训/院校,150-500人,民营公司,专业培训 节日福利 绩效奖金 五险 员工旅游,1-1.5万/月,11-02,https://jobs.51job.com/shenzhen-lgq/135622363.html?s=sou_sou_soulb&t=0_0
高提成销售代表有无经验均可-M,深圳-龙岗区|无需经验|高中|招若干人,深圳市龙华区金博士培训中心,教育/培训/院校,150-500人,民营公司,专业培训 节日福利 绩效奖金 五险 员工旅游,1-1.5万/月,11-02,https://jobs.51job.com/shenzhen-lgq/135443015.html?s=sou_sou_soulb&t=0_0
数据录入员/转正7K起,深圳-宝安区|1年经验|大专|招3人,深圳波特空间设计工程有限公司,家居/室内设计/装潢,50-150人,民营公司,定期体检 员工旅游 五险一金 周末双休 户外拓展 每周下午茶 项目提成,6.5-9.8千/月,11-02,https://jobs.51job.com/shenzhen-baq/133406956.html?s=sou_sou_soulb&t=0_0
8K急聘/数据分析助理,深圳-宝安区|1年经验|大专|招3人,深圳波特空间设计工程有限公司,家居/室内设计/装潢,50-150人,民营公司,定期体检 员工旅游 五险一金 周末双休 户外拓展 每周下午茶 项目提成,6.5-9.8千/月,11-02,https://jobs.51job.com/shenzhen-baq/133406558.html?s=sou_sou_soulb&t=0_0
财务数据统计员（8000起）,深圳-宝安区|无需经验|大专|招3人,深圳波特空间设计工程有限公司,家居/室内设计/装潢,50-150人,民营公司,定期体检 员工旅游 五险一金 周末双休 户外拓展 每周下午茶 项目提成,5.5-7.8千/月,11-02,https://jobs.51job.com/shenzhen-baq/133284336.html?s=sou_sou_soulb&t=0_0
房地产销售（包住）,深圳-龙华区|无需经验|本科|招6人,贝壳找房（深圳）科技有限公司,房地产,500-1000人,民营公司,包住宿 五险一金 节日福利 住房补贴 绩效奖金 上市公司 提供资源 师傅带教 晋升空间大 专业培训,0.8-1万/月,11-02,https://jobs.51job.com/shenzhen-lhq/135490538.html?s=sou_sou_soulb&t=0_0
房地产销售（本科包住）,深圳-南山区|无需经验|本科|招12人,贝壳找房（深圳）科技有限公司,房地产,500-1000人,民营公司,包住宿 五险一金 节日福利 住房补贴 绩效奖金 上市公司 提供资源 师傅带教 晋升空间大 专业培训,0.8-1万/月,11-02,https://jobs.51job.com/shenzhen-nsq/133653606.html?s=sou_sou_soulb&t=0_0
房地产销售（本科包住）,深圳-龙华区|无需经验|大专|招15人,贝壳找房（深圳）科技有限公司,房地产,500-1000人,民营公司,包住宿 五险一金 节日福利 住房补贴 绩效奖金 上市公司 提供资源 师傅带教 晋升空间大 专业培训,0.8-1万/月,11-02,https://jobs.51job.com/shenzhen-lhq/132463537.html?s=sou_sou_soulb&t=0_0
软件测试工程师,深圳-福田区|3-4年经验|本科|招若干人,北京国双科技有限公司,互联网/电子商务,500-1000人,上市公司,补充医疗保险 绩效奖金 五险一金 带薪年假,1-2万/月,11-02,https://jobs.51job.com/shenzhen-ftq/135621672.html?s=sou_sou_soulb&t=0_0
ETL开发工程师,深圳-福田区|3-4年经验|本科|招若干人,北京国双科技有限公司,互联网/电子商务,500-1000人,上市公司,补充医疗保险 绩效奖金 五险一金 带薪年假,1.5-2万/月,11-02,https://jobs.51job.com/shenzhen-ftq/134874748.html?s=sou_sou_soulb&t=0_0
产品专员/助理,深圳-福田区|2年经验|本科|招若干人,北京国双科技有限公司,互联网/电子商务,500-1000人,上市公司,补充医疗保险 绩效奖金 五险一金 带薪年假,1-1.5万/月,11-02,https://jobs.51job.com/shenzhen-ftq/134770932.html?s=sou_sou_soulb&t=0_0
项目经理,深圳-福田区|3-4年经验|本科|招若干人,北京国双科技有限公司,互联网/电子商务,500-1000人,上市公司,补充医疗保险 绩效奖金 五险一金 带薪年假,30-35万/年,11-02,https://jobs.51job.com/shenzhen-ftq/133830106.html?s=sou_sou_soulb&t=0_0
高级项目经理,深圳-福田区|3-4年经验|本科|招若干人,北京国双科技有限公司,互联网/电子商务,500-1000人,上市公司,补充医疗保险 绩效奖金 五险一金 带薪年假,2.8-4万/月,11-02,https://jobs.51job.com/shenzhen-ftq/133821613.html?s=sou_sou_soulb&t=0_0
产品经理,深圳|3-4年经验|本科|招若干人,北京国双科技有限公司,互联网/电子商务,500-1000人,上市公司,补充医疗保险 绩效奖金 五险一金 带薪年假,2.5-3万/月,11-02,https://jobs.51job.com/shenzhen/133571444.html?s=sou_sou_soulb&t=0_0
平台产品经理,深圳|3-4年经验|本科|招1人,北京国双科技有限公司,互联网/电子商务,500-1000人,上市公司,补充医疗保险 绩效奖金 五险一金 带薪年假,1.2-2万/月,11-02,https://jobs.51job.com/shenzhen/130764654.html?s=sou_sou_soulb&t=0_0
业务咨询顾问/BI分析顾问,深圳|3-4年经验|本科|招5人,北京国双科技有限公司,互联网/电子商务,500-1000人,上市公司,补充医疗保险 绩效奖金 五险一金 带薪年假,1.8-3万/月,11-02,https://jobs.51job.com/shenzhen/129271872.html?s=sou_sou_soulb&t=0_0
软件测试工程师,深圳|2年经验|本科|招3人,北京国双科技有限公司,互联网/电子商务,500-1000人,上市公司,补充医疗保险 绩效奖金 五险一金 带薪年假,1-2万/月,11-02,https://jobs.51job.com/shenzhen/128940350.html?s=sou_sou_soulb&t=0_0
资深数据咨询师,深圳|5-7年经验|本科|招2人,北京国双科技有限公司,互联网/电子商务,500-1000人,上市公司,补充医疗保险 绩效奖金 五险一金 带薪年假,2-2.5万/月,11-02,https://jobs.51job.com/shenzhen/128774766.html?s=sou_sou_soulb&t=0_0
数字营销客户经理,深圳|3-4年经验|本科|招5人,北京国双科技有限公司,互联网/电子商务,500-1000人,上市公司,补充医疗保险 绩效奖金 五险一金 带薪年假,2-2.5万/月,11-02,https://jobs.51job.com/shenzhen/128774127.html?s=sou_sou_soulb&t=0_0
互联网销售/汽车行业销售,深圳|5-7年经验|大专|招1人,北京国双科技有限公司,互联网/电子商务,500-1000人,上市公司,补充医疗保险 绩效奖金 五险一金 带薪年假,2-4万/月,11-02,https://jobs.51job.com/shenzhen/128117947.html?s=sou_sou_soulb&t=0_0
高级咨询顾问/项目经理,深圳|5-7年经验|本科|招5人,北京国双科技有限公司,互联网/电子商务,500-1000人,上市公司,补充医疗保险 绩效奖金 五险一金 带薪年假,2-2.5万/月,11-02,https://jobs.51job.com/shenzhen/127782689.html?s=sou_sou_soulb&t=0_0
智慧园区咨询顾问/解决方案专家,深圳|5-7年经验|本科|招3人,北京国双科技有限公司,互联网/电子商务,500-1000人,上市公司,补充医疗保险 绩效奖金 五险一金 带薪年假,2.5-3万/月,11-02,https://jobs.51job.com/shenzhen/127782261.html?s=sou_sou_soulb&t=0_0
互联网销售/汽车行业销售,深圳|5-7年经验|大专|招1人,北京国双科技有限公司,互联网/电子商务,500-1000人,上市公司,补充医疗保险 绩效奖金 五险一金 带薪年假,2-4万/月,11-02,https://jobs.51job.com/shenzhen/128117946.html?s=sou_sou_soulb&t=0_0
销售经理(IDC),深圳-宝安区|5-7年经验|本科|招2人,深圳市鹰硕教育服务有限公司,计算机软件,150-500人,民营公司,,1.5-2.5万/月,11-02,https://jobs.51job.com/shenzhen-baq/129831575.html?s=sou_sou_soulb&t=0_0
数据分析师/双休,深圳-南山区|无需经验|本科|招3人,国大智科（深圳）信息技术有限公司,计算机软件,150-500人,民营公司,,0.7-1.4万/月,11-02,https://jobs.51job.com/shenzhen-nsq/135316722.html?s=sou_sou_soulb&t=0_0
数据分析师接受本科转行,深圳-南山区|无需经验|本科|招3人,国大智科（深圳）信息技术有限公司,计算机软件,150-500人,民营公司,,0.7-1.4万/月,11-02,https://jobs.51job.com/shenzhen-nsq/135316038.html?s=sou_sou_soulb&t=0_0
高薪诚聘数据分析,深圳-南山区|1年经验|本科|招3人,国大智科（深圳）信息技术有限公司,计算机软件,150-500人,民营公司,,0.7-1.4万/月,11-02,https://jobs.51job.com/shenzhen-nsq/135315959.html?s=sou_sou_soulb&t=0_0
数据分析本科以上,深圳-南山区|无需经验|本科|招3人,国大智科（深圳）信息技术有限公司,计算机软件,150-500人,民营公司,,0.7-1.4万/月,11-02,https://jobs.51job.com/shenzhen-nsq/135315850.html?s=sou_sou_soulb&t=0_0
数据开发工程师,深圳-南山区|3-4年经验|本科|招1人,深圳市前海润杨金融服务有限公司,金融/投资/证券,5000-10000人,民营公司,五险一金 节日福利 定期体检 定期团建,1-1.5万/月,11-02,https://jobs.51job.com/shenzhen-nsq/136091483.html?s=sou_sou_soulb&t=0_0
链家实习生（8000底薪）,深圳-龙岗区|无需经验|本科|招10人,贝壳找房（深圳）科技有限公司,房地产,500-1000人,民营公司,五险一金 带薪年假 专业培训 绩效奖金 住房补贴 包住宿 出国旅游 节日福利 每月团建 弹性工作,1.5千以下/月,11-02,https://jobs.51job.com/shenzhen-lgq/133959077.html?s=sou_sou_soulb&t=0_0
软件销售,深圳-龙华区|3-4年经验|大专|招5人,四化信息科技（深圳）有限公司,计算机软件,少于50人,民营公司,五险一金 年终奖金 定期体检 员工旅游 专业培训 节日福利 下午茶,1-2万/月,11-02,https://jobs.51job.com/shenzhen-lhq/133920819.html?s=sou_sou_soulb&t=0_0
房地产销售（6K-8K底薪，包住）,深圳-宝安区|无需经验|高中|招6人,贝壳找房（深圳）科技有限公司,房地产,500-1000人,民营公司,包住宿 五险一金 节日福利 住房补贴 绩效奖金 上市公司 提供资源 师傅带教 晋升空间大 专业培训,0.8-1万/月,11-02,https://jobs.51job.com/shenzhen-baq/134622862.html?s=sou_sou_soulb&t=0_0
大客户经理,深圳-南山区|2年经验|大专|招3人,深圳三青鸟科技有限公司,计算机软件,少于50人,民营公司,五险一金 绩效奖金 年终奖金 股票期权 定期体检 弹性工作 周末双休 团建,0.8-1.5万/月,11-02,https://jobs.51job.com/shenzhen-nsq/130730071.html?s=sou_sou_soulb&t=0_0
研发经理,广州|10年以上经验|本科|招1人,深圳融安网络科技有限公司,通信/电信/网络设备,150-500人,民营公司,五险一金 节日福利 周末双休 年终奖金 定期体检 带薪年假 绩效奖金,2-3.5万/月,11-02,https://jobs.51job.com/guangzhou-thq/133046525.html?s=sou_sou_soulb&t=0_1
高级测试工程师,深圳-南山区|5-7年经验|大专|招2人,深圳融安网络科技有限公司,通信/电信/网络设备,150-500人,民营公司,五险一金 节日福利 周末双休 年终奖金 定期体检 专业培训 带薪年假 通讯补贴 员工旅游,1.1-2万/月,11-02,https://jobs.51job.com/shenzhen-nsq/129899253.html?s=sou_sou_soulb&t=0_0
房地产销售（本科包住）,深圳-宝安区|无需经验|本科|招16人,贝壳找房（深圳）科技有限公司,房地产,500-1000人,民营公司,包住宿 五险一金 节日福利 住房补贴 绩效奖金 上市公司 提供资源 师傅带教 晋升空间大 专业培训,0.8-1万/月,11-02,https://jobs.51job.com/shenzhen-baq/135548200.html?s=sou_sou_soulb&t=0_0
项目经理,深圳-福田区|3-4年经验|本科|招1人,拓尔思信息技术股份有限公司广州分公司,计算机软件,150-500人,民营公司,,1.2-2万/月,11-02,https://jobs.51job.com/shenzhen-ftq/120934046.html?s=sou_sou_soulb&t=0_0
产品经理（电子档案）(J13517),深圳-福田区|3-4年经验|本科|招1人,银雁科技服务集团股份有限公司,金融/投资/证券,10000人以上,民营公司,五险一金 专业培训 绩效奖金 周末双休 定期体检 员工旅游 免费班车,1.5-2.5万/月,11-02,https://jobs.51job.com/shenzhen-ftq/119405663.html?s=sou_sou_soulb&t=0_0
网络销售（SaaS系统）,深圳-龙岗区|无需经验|招若干人,深圳市财盈通科技有限公司,互联网/电子商务,500-1000人,民营公司,五险一金 年终奖金 专业培训 员工旅游 定期体检 绩效奖金,1-1.5万/月,11-02,https://jobs.51job.com/shenzhen-lgq/134288852.html?s=sou_sou_soulb&t=0_0
销售顾问,深圳-龙岗区|无需经验|招若干人,深圳市财盈通科技有限公司,互联网/电子商务,500-1000人,民营公司,,4-8千/月,11-02,https://jobs.51job.com/shenzhen-lgq/133853975.html?s=sou_sou_soulb&t=0_0
视觉算法工程师,深圳-南山区|3-4年经验|本科|招若干人,深圳市麦谷科技有限公司,计算机软件,150-500人,民营公司,五险一金 定期体检 员工旅游 年终奖金,1.8-2.5万/月,11-02,https://jobs.51job.com/shenzhen-nsq/96940986.html?s=sou_sou_soulb&t=0_0
高级外贸资讯顾问,深圳-宝安区|2年经验|本科|招10人,深圳腾道信息技术有限公司,计算机软件,500-1000人,民营公司,周末双休 弹性工作 带薪年假 五险一金 绩效奖金 节日福利 专业培训 交通补贴 通讯补贴 股票期权,1.2-2万/月,11-02,https://jobs.51job.com/shenzhen-baq/128518000.html?s=sou_sou_soulb&t=0_0
网络销售,深圳-宝安区|1年经验|中专|招10人,深圳腾道信息技术有限公司,计算机软件,500-1000人,民营公司,周末双休 弹性工作 带薪年假 五险一金 绩效奖金 节日福利 专业培训 交通补贴 通讯补贴 股票期权,0.8-1.6万/月,11-02,https://jobs.51job.com/shenzhen-baq/128879508.html?s=sou_sou_soulb&t=0_0
销售顾问,深圳-宝安区|1年经验|高中|招10人,深圳腾道信息技术有限公司,计算机软件,500-1000人,民营公司,带薪年假 五险一金 绩效奖金 节日福利 专业培训 交通补贴,0.8-1万/月,11-02,https://jobs.51job.com/shenzhen-baq/128508925.html?s=sou_sou_soulb&t=0_0
软件销售顾问,深圳-宝安区|1年经验|大专|招10人,深圳腾道信息技术有限公司,计算机软件,500-1000人,民营公司,周末双休 弹性工作 带薪年假 五险一金 绩效奖金 节日福利 专业培训 交通补贴 餐饮补贴 全勤奖,1-1.5万/月,11-02,https://jobs.51job.com/shenzhen-baq/128517904.html?s=sou_sou_soulb&t=0_0
高级产品经理(J14017),深圳-福田区|5-7年经验|本科|招1人,银雁科技服务集团股份有限公司,金融/投资/证券,10000人以上,民营公司,五险一金 周末双休 定期体检 专业培训 带薪年假 节日福利 年终奖金 扁平管理 专业团队,1.5-2.5万/月,11-02,https://jobs.51job.com/shenzhen-ftq/124365400.html?s=sou_sou_soulb&t=0_0
项目经理,深圳-南山区|2年经验|本科|招1人,清能艾科（深圳）能源技术有限公司,石油/化工/矿产/地质,少于50人,创业公司,五险一金 周末双休 年终奖金 绩效奖金 发展空间大 福利待遇优,1.5-2万/月,11-02,https://jobs.51job.com/shenzhen-nsq/121277724.html?s=sou_sou_soulb&t=0_0
数据工程师,深圳-南山区|本科|招若干人,清能艾科（深圳）能源技术有限公司,石油/化工/矿产/地质,少于50人,创业公司,五险一金 周末双休 年终奖金 绩效奖金 发展空间大 福利待遇优,20-30万/年,11-02,https://jobs.51job.com/shenzhen-nsq/113004825.html?s=sou_sou_soulb&t=0_0
