职位名称,基本信息,公司名称,公司类型,公司规模,公司性质,公司福利,薪资,发布日期,职位详情页
售前技术支持工程师,深圳|5-7年经验|本科|招1人,深圳市迈科龙电子有限公司,计算机软件,150-500人,民营公司,五险一金 员工旅游 专业培训 绩效奖金 年终奖金 弹性工作 定期体检 补充医疗保险 补充公积金 免费班车,1-1.5万/月,11-26,https://jobs.51job.com/shenzhen/136611513.html?s=sou_sou_soulb&t=0_0
销售（世界500强大房企）贝壳,深圳-龙华区|无需经验|招5人,贝壳找房（深圳）科技有限公司,房地产,500-1000人,民营公司,弹性工作 包住宿 五险一金 节日福利 交通补贴 住房补贴 绩效奖金 全勤奖 加班补贴 专业培训,0.6-1.2万/月,11-26,https://jobs.51job.com/shenzhen-lhq/133163605.html?s=sou_sou_soulb&t=0_0
银行客服-包住-接受无经验,深圳-南山区|无需经验|高中|招5人,胜科企业,金融/投资/证券,1000-5000人,民营公司,,0.8-1万/月,11-26,https://jobs.51job.com/shenzhen-nsq/135447453.html?s=sou_sou_soulb&t=0_0
销售/8k底薪/上市公司包住,深圳-福田区|无需经验|本科|招10人,贝壳找房（深圳）科技有限公司,房地产,500-1000人,民营公司,五险一金 节日福利 专业培训 员工旅游 带薪年假 出国机会 弹性工作 住房补贴 包住宿 上市公司,1-2万/月,11-26,https://jobs.51job.com/shenzhen-ftq/133847558.html?s=sou_sou_soulb&t=0_0
8K底薪/应届毕业生/包住,深圳-龙岗区|无需经验|招10人,贝壳找房（深圳）科技有限公司,房地产,500-1000人,民营公司,五险一金 节日福利 专业培训 员工旅游 带薪年假 出国机会 弹性工作 住房补贴 包住宿 上市公司,1-2万/月,11-26,https://jobs.51job.com/shenzhen-lgq/133629138.html?s=sou_sou_soulb&t=0_0
高级销售经理-深圳,深圳-南山区|5-7年经验|本科|招1人,珠海市卓轩科技有限公司,计算机软件,50-150人,民营公司,技术大牛 行业前景 发展空间 个人增值 六险一金 补充医疗保险 高提成激励 弹性工作 定期体检,2-3.5万/月,11-26,https://jobs.51job.com/shenzhen-nsq/131485284.html?s=sou_sou_soulb&t=0_0
大客户销售代表（龙头房企+好福利）,深圳-龙岗区|无需经验|招5人,贝壳找房（深圳）科技有限公司,房地产,500-1000人,民营公司,弹性工作 包住宿 五险一金 节日福利 交通补贴 住房补贴 绩效奖金 全勤奖 加班补贴 专业培训,0.8-1.5万/月,11-26,https://jobs.51job.com/shenzhen-lgq/133163388.html?s=sou_sou_soulb&t=0_0
豪宅销售（包住+五险一金）,深圳-南山区|无需经验|招5人,贝壳找房（深圳）科技有限公司,房地产,500-1000人,民营公司,弹性工作 包住宿 五险一金 节日福利 交通补贴 住房补贴 绩效奖金 全勤奖 加班补贴 专业培训,0.6-1.2万/月,11-26,https://jobs.51job.com/shenzhen-nsq/133163244.html?s=sou_sou_soulb&t=0_0
软件测试工程师,深圳-南山区|5-7年经验|大专|招8人,深圳市网新新思软件有限公司,计算机服务(系统、数据服务、维修),1000-5000人,上市公司,五险一金 年终奖金 定期体检 员工旅游,1-1.5万/月,11-26,https://jobs.51job.com/shenzhen-nsq/133450548.html?s=sou_sou_soulb&t=0_0
数据分析（经济数据）,深圳-南山区|2年经验|本科|招5人,深圳格隆汇信息科技有限公司,互联网/电子商务,150-500人,创业公司,股票期权 年终奖金 五险一金 专业培训,1-2万/月,11-26,https://jobs.51job.com/shenzhen-nsq/134744868.html?s=sou_sou_soulb&t=0_0
机构销售,深圳-南山区|2年经验|本科|招2人,深圳格隆汇信息科技有限公司,互联网/电子商务,150-500人,创业公司,五险一金 带薪年假 周末双休 加班餐补,1-2万/月,11-26,https://jobs.51job.com/shenzhen-nsq/129509523.html?s=sou_sou_soulb&t=0_0
产品运营,深圳-南山区|1年经验|大专|招2人,深圳格隆汇信息科技有限公司,互联网/电子商务,150-500人,创业公司,五险一金 带薪年假 周末双休 加班餐补,0.8-1万/月,11-26,https://jobs.51job.com/shenzhen-nsq/127471213.html?s=sou_sou_soulb&t=0_0
产品经理,深圳-南山区|1年经验|本科|招2人,深圳格隆汇信息科技有限公司,互联网/电子商务,150-500人,创业公司,五险一金 绩效奖金 股票期权 专业培训,1-1.5万/月,11-26,https://jobs.51job.com/shenzhen-nsq/110516304.html?s=sou_sou_soulb&t=0_0
研究经理,深圳-罗湖区|2年经验|硕士|招2人,深圳市维度数据科技股份有限公司,专业服务(咨询、人力资源、财会),150-500人,上市公司,五险一金 节日福利 带薪年假 员工旅游 定期体检 婚庆礼金 生育礼金 员工持股计划 晋升机会 年终奖金,1.5-2.5万/月,11-26,https://jobs.51job.com/shenzhen-lhq/125232094.html?s=sou_sou_soulb&t=0_0
软件测试工程师,深圳-福田区|3-4年经验|本科|招若干人,北京国双科技有限公司,互联网/电子商务,500-1000人,上市公司,补充医疗保险 绩效奖金 五险一金 带薪年假,1-2万/月,11-26,https://jobs.51job.com/shenzhen-ftq/135621672.html?s=sou_sou_soulb&t=0_0
ETL开发工程师,深圳-福田区|3-4年经验|本科|招若干人,北京国双科技有限公司,互联网/电子商务,500-1000人,上市公司,补充医疗保险 绩效奖金 五险一金 带薪年假,1.5-2万/月,11-26,https://jobs.51job.com/shenzhen-ftq/134874748.html?s=sou_sou_soulb&t=0_0
产品专员/助理,深圳-福田区|2年经验|本科|招若干人,北京国双科技有限公司,互联网/电子商务,500-1000人,上市公司,补充医疗保险 绩效奖金 五险一金 带薪年假,1-1.5万/月,11-26,https://jobs.51job.com/shenzhen-ftq/134770932.html?s=sou_sou_soulb&t=0_0
项目经理,深圳-福田区|3-4年经验|本科|招若干人,北京国双科技有限公司,互联网/电子商务,500-1000人,上市公司,补充医疗保险 绩效奖金 五险一金 带薪年假,30-35万/年,11-26,https://jobs.51job.com/shenzhen-ftq/133830106.html?s=sou_sou_soulb&t=0_0
高级项目经理,深圳-福田区|3-4年经验|本科|招若干人,北京国双科技有限公司,互联网/电子商务,500-1000人,上市公司,补充医疗保险 绩效奖金 五险一金 带薪年假,2.8-4万/月,11-26,https://jobs.51job.com/shenzhen-ftq/133821613.html?s=sou_sou_soulb&t=0_0
产品经理,深圳|3-4年经验|本科|招若干人,北京国双科技有限公司,互联网/电子商务,500-1000人,上市公司,补充医疗保险 绩效奖金 五险一金 带薪年假,2.5-3万/月,11-26,https://jobs.51job.com/shenzhen/133571444.html?s=sou_sou_soulb&t=0_0
平台产品经理,深圳|3-4年经验|本科|招1人,北京国双科技有限公司,互联网/电子商务,500-1000人,上市公司,补充医疗保险 绩效奖金 五险一金 带薪年假,1.2-2万/月,11-26,https://jobs.51job.com/shenzhen/130764654.html?s=sou_sou_soulb&t=0_0
业务咨询顾问/BI分析顾问,深圳|3-4年经验|本科|招5人,北京国双科技有限公司,互联网/电子商务,500-1000人,上市公司,补充医疗保险 绩效奖金 五险一金 带薪年假,1.8-3万/月,11-26,https://jobs.51job.com/shenzhen/129271872.html?s=sou_sou_soulb&t=0_0
软件测试工程师,深圳|2年经验|本科|招3人,北京国双科技有限公司,互联网/电子商务,500-1000人,上市公司,补充医疗保险 绩效奖金 五险一金 带薪年假,1-2万/月,11-26,https://jobs.51job.com/shenzhen/128940350.html?s=sou_sou_soulb&t=0_0
资深数据咨询师,深圳|5-7年经验|本科|招2人,北京国双科技有限公司,互联网/电子商务,500-1000人,上市公司,补充医疗保险 绩效奖金 五险一金 带薪年假,2-2.5万/月,11-26,https://jobs.51job.com/shenzhen/128774766.html?s=sou_sou_soulb&t=0_0
数字营销客户经理,深圳|3-4年经验|本科|招5人,北京国双科技有限公司,互联网/电子商务,500-1000人,上市公司,补充医疗保险 绩效奖金 五险一金 带薪年假,2-2.5万/月,11-26,https://jobs.51job.com/shenzhen/128774127.html?s=sou_sou_soulb&t=0_0
互联网销售/汽车行业销售,深圳|5-7年经验|大专|招1人,北京国双科技有限公司,互联网/电子商务,500-1000人,上市公司,补充医疗保险 绩效奖金 五险一金 带薪年假,2-4万/月,11-26,https://jobs.51job.com/shenzhen/128117947.html?s=sou_sou_soulb&t=0_0
高级咨询顾问/项目经理,深圳|5-7年经验|本科|招5人,北京国双科技有限公司,互联网/电子商务,500-1000人,上市公司,补充医疗保险 绩效奖金 五险一金 带薪年假,2-2.5万/月,11-26,https://jobs.51job.com/shenzhen/127782689.html?s=sou_sou_soulb&t=0_0
智慧园区咨询顾问/解决方案专家,深圳|5-7年经验|本科|招3人,北京国双科技有限公司,互联网/电子商务,500-1000人,上市公司,补充医疗保险 绩效奖金 五险一金 带薪年假,2.5-3万/月,11-26,https://jobs.51job.com/shenzhen/127782261.html?s=sou_sou_soulb&t=0_0
