本数据由邢不行整理,,,,,,,,,,,,,,
基金代码,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
519001.OF,-0.531525252,1.16082781,-0.027167449,-0.273534522,0.040212578,0.136410082,0.186872471,0.475820707,-0.152970869,0.200393919,-0.344061593,0.425437753,0.555210583,-0.059572
160611.OF,-0.530710835,0.754820616,-0.065670612,-0.216989843,0.04654088,0.018028846,0.069657615,0.167770419,-0.134338555,-0.085682074,-0.15782984,0.494875549,0.747081298,-0.100378
202002.OF,-0.529949169,0.418237615,-0.054480316,-0.211723312,-0.005871725,0.0513403,0.214779602,0.424204898,-0.119772816,0.191331418,-0.230540052,0.419865772,0.593720416,0.034244
202001.OF,-0.529466369,0.446114972,-0.072465681,-0.208156338,-0.007181773,0.053504615,0.210725701,0.427335552,-0.118629166,0.191720915,-0.23169199,0.424355933,0.591725443,0.027666
540002.OF,-0.528881509,0.77026388,0.075760004,-0.254834644,0.007836046,0.249716726,0.550092421,0.170641545,0.007232352,0.175293884,-0.219033501,0.357313853,0.425597905,-0.109312
202005.OF,-0.528430418,0.531839623,-0.065560129,-0.173511186,0.146016012,-0.071523619,0.581512003,0.25810859,0.010310551,0.290498202,-0.312392501,0.512371582,0.43615549,-0.010716
040008.OF,-0.528161632,0.676025046,-0.028802121,-0.258716962,-0.017073987,0.085831063,0.2956399,0.412904007,-0.090729952,0.542919062,-0.189923664,0.431888428,0.405759714,0.055916
519993.OF,-0.5272645,0.42980217,-0.068399911,-0.287339801,0.021848739,0.18256579,0.189986092,0.863024479,-0.082903179,-0.002921731,-0.240088317,0.314679131,0.436182974,-0.056758
020009.OF,-0.527218494,0.872474783,-0.030297409,-0.219769674,0.03198032,0.089392133,0.438730853,0.186169668,-0.048544967,0.24631101,-0.302735445,0.432960894,0.574074074,0.138329
260110.OF,-0.5265625,0.650165017,-0.138,-0.218097448,0.008902077,0.3,0.334841629,0.192372881,-0.13926523,0.450151057,-0.244579534,0.515021459,0.44984288,-0.089019
159902.OF,-0.526209677,0.941852755,0.207132018,-0.367064739,-0.012413108,0.178984414,0.092861346,0.546062992,-0.20753756,0.17159383,-0.370268788,0.414198606,0.449029874,-0.004251
160607.OF,-0.525345622,0.80776699,-0.134264232,-0.099255583,0.093663912,0.019598438,0.461545497,0.192370547,-0.072276564,0.280780781,-0.291806002,0.548330404,0.476623953,-0.016908
090004.OF,-0.525098339,0.759158223,0.017945608,-0.294583569,0.060239326,0.103244838,0.148222218,0.27244897,0.079114943,0.310074717,-0.20954834,0.392645176,0.505974764,-0.082399
070010.OF,-0.524868108,0.824925816,0.191056911,-0.202446566,0.023195876,-0.053736356,0.119787045,0.56150163,-0.166807184,0.0000279,-0.272279216,0.211151181,0.809371576,-0.051081
